Theta,Phi_r,v_alh (q),m_alh (q),s_alh (q),Bay (q),Bay Lower,Bay Upper,,
61.44773196,0.687073505,0.15660569,0.371144301,2.873469678,0.035925748,0.023662777,0.055103008,,
27.67046355,0.620477302,0.046081263,0.1671296,2.838083842,0.028333848,0.018999946,0.041367556,,
50.34557202,0.74859109,0.128634474,0.304087255,2.858394831,0.027959436,0.014540178,0.048769628,,
83.94590434,0.667428839,0.124382546,0.507033262,2.900423448,0.045286499,0.028500828,0.070039035,,
27.52722972,0.68814985,0.045617593,0.166264468,2.851025866,0.027269537,0.018014764,0.042644438,,
4.376472447,0.620154111,0.01739704,0.026433894,2.801159962,0.017707758,0.009378417,0.028333671,,
60.80649909,0.640227232,0.155546225,0.367271255,2.885807358,0.04115209,0.026572784,0.062472324,,
70.81570211,0.690835616,0.161431476,0.427726841,2.878201337,0.037765675,0.024300159,0.058608322,,
86.20817039,0.680710505,0.11154133,0.520697349,2.894151868,0.043451931,0.027323376,0.067548749,,
14.20207893,0.71724703,0.015385873,0.085780557,2.853454743,0.02465737,0.013886138,0.042364191,,
35.29259326,0.637092683,0.073138465,0.213167263,2.851654861,0.031170926,0.021277311,0.045773845,,
75.9726414,0.696891158,0.153874527,0.458874754,2.878446208,0.038047351,0.024065858,0.05966713,,
72.61842539,0.640475789,0.159715591,0.438615289,2.901518954,0.045790912,0.028656187,0.070393391,,
56.23161366,0.686498708,0.145798519,0.339638947,2.87009359,0.034655291,0.02306174,0.053021915,,
24.24316907,0.689342819,0.035626332,0.146428741,2.849178527,0.026437859,0.017236121,0.041567778,,
25.56317616,0.614158166,0.039486702,0.154401584,2.833341071,0.02743006,0.018144068,0.040073864,,
11.16026952,0.680567312,0.013297218,0.067408028,2.837204576,0.022891549,0.014010952,0.036659711,,
82.96683064,0.597057599,0.12929364,0.501119657,2.941254274,0.057774771,0.031337513,0.091514861,,
15.56383632,0.673188393,0.017008195,0.094005571,2.837858676,0.023942492,0.015386957,0.037328978,,
51.55979411,0.703734406,0.132522413,0.311421156,2.864491645,0.031954479,0.020779217,0.050028015,,
52.59162753,0.606532773,0.135697151,0.31765343,2.880129038,0.040942311,0.0251857,0.061862999,,
33.26448971,0.741263403,0.065579883,0.200917518,2.860876492,0.027009908,0.0149713,0.046705773,,
31.72666149,0.666582361,0.059988763,0.191629035,2.850814817,0.028916953,0.019792962,0.043496398,,
60.17295767,0.741217572,0.154420611,0.363444664,2.858411461,0.029475113,0.015703755,0.050578043,,
34.94680002,0.611911195,0.071837654,0.211078672,2.848882377,0.031965557,0.020934659,0.046914613,,
22.9603854,0.743004844,0.032098021,0.138680728,2.862278117,0.026066145,0.013838695,0.045951238,,
35.92185322,0.612191069,0.07551591,0.216967993,2.850575863,0.032423563,0.021210249,0.04764996,,
72.68958699,0.667008746,0.159628097,0.439045105,2.88986821,0.041816271,0.027040479,0.064058516,,
86.98306096,0.741151566,0.106649313,0.525377688,2.856004833,0.031942643,0.014427415,0.057285385,,
57.23552074,0.631409396,0.148243734,0.345702545,2.883001911,0.040657967,0.026123307,0.06150065,,
70.38911029,0.600612543,0.161699875,0.425150226,2.914942438,0.050647425,0.029033834,0.078906492,,
47.95423752,0.718608021,0.120556754,0.289643595,2.861576787,0.030081932,0.018673849,0.048582639,,
56.23408279,0.687919494,0.145804727,0.33965386,2.86980067,0.034512039,0.022940313,0.052823072,,
